CodInst,NomeInstituicao,Segmento
03662047,IF 03662047,N/D
03674133,IF 03674133,N/D
03685335,IF 03685335,N/D
03732359,IF 03732359,N/D
03750034,IF 03750034,N/D
03751794,IF 03751794,N/D
03793242,IF 03793242,N/D
03795072,IF 03795072,N/D
03816413,IF 03816413,N/D
03844699,IF 03844699,N/D
03847413,IF 03847413,N/D
03848103,IF 03848103,N/D
03862898,IF 03862898,N/D
03877288,IF 03877288,N/D
03881423,IF 03881423,N/D
03918382,IF 03918382,N/D
03941182,IF 03941182,N/D
03965737,IF 03965737,N/D
03973814,IF 03973814,N/D
03985375,IF 03985375,N/D
03990888,IF 03990888,N/D
04013172,IF 04013172,N/D
04062902,IF 04062902,N/D
04079285,IF 04079285,N/D
04120633,IF 04120633,N/D
04152107,IF 04152107,N/D
04158581,IF 04158581,N/D
04174720,IF 04174720,N/D
04181542,IF 04181542,N/D
04184779,IF 04184779,N/D
04223451,IF 04223451,N/D
04230630,IF 04230630,N/D
04237413,IF 04237413,N/D
04243780,IF 04243780,N/D
04247370,IF 04247370,N/D
04249235,IF 04249235,N/D
04257795,IF 04257795,N/D
04261151,IF 04261151,N/D
04306351,IF 04306351,N/D
04307598,IF 04307598,N/D
04316357,IF 04316357,N/D
04321309,IF 04321309,N/D
04323351,IF 04323351,N/D
04332281,IF 04332281,N/D
04350225,IF 04350225,N/D
04355489,IF 04355489,N/D
04379829,IF 04379829,N/D
04388688,IF 04388688,N/D
04406371,IF 04406371,N/D
04414354,IF 04414354,N/D
04445917,IF 04445917,N/D
04452473,IF 04452473,N/D
04463602,IF 04463602,N/D
04478231,IF 04478231,N/D
04484490,IF 04484490,N/D
04490531,IF 04490531,N/D
04525997,IF 04525997,N/D
04529074,IF 04529074,N/D
04565791,IF 04565791,N/D
04572960,IF 04572960,N/D
04608925,IF 04608925,N/D
04632856,IF 04632856,N/D
04649337,IF 04649337,N/D
04663561,IF 04663561,N/D
04670195,IF 04670195,N/D
04684647,IF 04684647,N/D
04694278,IF 04694278,N/D
04715685,IF 04715685,N/D
04740876,IF 04740876,N/D
04751713,IF 04751713,N/D
04772908,IF 04772908,N/D
04791645,IF 04791645,N/D
04804353,IF 04804353,N/D
04814563,IF 04814563,N/D
04831810,IF 04831810,N/D
04833655,IF 04833655,N/D
04836002,IF 04836002,N/D
04849745,IF 04849745,N/D
04853988,IF 04853988,N/D
04862600,IF 04862600,N/D
04866275,IF 04866275,N/D
04876393,IF 04876393,N/D
04886317,IF 04886317,N/D
04891850,IF 04891850,N/D
04894460,IF 04894460,N/D
04902979,IF 04902979,N/D
04913129,IF 04913129,N/D
04913711,IF 04913711,N/D
04962772,IF 04962772,N/D
04985665,IF 04985665,N/D
04995006,IF 04995006,N/D
04998845,IF 04998845,N/D
05036532,IF 05036532,N/D
05040481,IF 05040481,N/D
05040680,IF 05040680,N/D
05048575,IF 05048575,N/D
05070112,IF 05070112,N/D
05076239,IF 05076239,N/D
05097757,IF 05097757,N/D
05158093,IF 05158093,N/D
05192316,IF 05192316,N/D
05203605,IF 05203605,N/D
05211129,IF 05211129,N/D
05220243,IF 05220243,N/D
05222094,IF 05222094,N/D
05231945,IF 05231945,N/D
05241145,IF 05241145,N/D
05241619,IF 05241619,N/D
05247312,IF 05247312,N/D
05269976,IF 05269976,N/D
05276770,IF 05276770,N/D
05277312,IF 05277312,N/D
05289612,IF 05289612,N/D
05292849,IF 05292849,N/D
05331882,IF 05331882,N/D
05351887,IF 05351887,N/D
05389174,IF 05389174,N/D
05392810,IF 05392810,N/D
05410056,IF 05410056,N/D
05419025,IF 05419025,N/D
05424088,IF 05424088,N/D
05425526,IF 05425526,N/D
05439425,IF 05439425,N/D
05442029,IF 05442029,N/D
05463212,IF 05463212,N/D
05463934,IF 05463934,N/D
05474540,IF 05474540,N/D
05477038,IF 05477038,N/D
05491616,IF 05491616,N/D
05494591,IF 05494591,N/D
05503849,IF 05503849,N/D
05545390,IF 05545390,N/D
05548335,IF 05548335,N/D
05582619,IF 05582619,N/D
05591437,IF 05591437,N/D
05597773,IF 05597773,N/D
05658367,IF 05658367,N/D
05667301,IF 05667301,N/D
05669150,IF 05669150,N/D
05676026,IF 05676026,N/D
05684234,IF 05684234,N/D
05740092,IF 05740092,N/D
05746715,IF 05746715,N/D
05747018,IF 05747018,N/D
05816451,IF 05816451,N/D
