data_captura,data_referencia,NOME DO CONGLOMERADO,CLASSE DO CONGLOMERADO,CNPJ PARTICIPANTE,NOME DO PARTICIPANTE,TIPO PARTICIPAÇÃO,DATA INÍCIO,UF
2026-07-08,2026-06-01,AVANCARD PROVER IP - PRUDENCIAL,Privado Nacional,5003-25-84,LOAN BRASIL SOCIEDADE DE CRÉDITO DIRETO S.A.,PARTICIPANTE,2023-08-23,AM
2026-07-08,2026-06-01,BANCO AFINZ BM - PRUDENCIAL,Privado Nacional,0481-45-63,BANCO AFINZ S.A. - BANCO MÚLTIPLO,LIDER,2025-08-29,SP
2026-07-08,2026-06-01,BANCO AFINZ BM - PRUDENCIAL,Privado Nacional,6011-48-65,AFINZ INSTITUIÇÃO DE PAGAMENTO S.A.,PARTICIPANTE,2025-08-29,SP
2026-07-08,2026-06-01,BANCO B3 - PRUDENCIAL,Privado Nacional,0099-71-85,BANCO B3 S.A.,LIDER/HOLDING,2014-01-02,SP
2026-07-08,2026-06-01,BANCO B3 - PRUDENCIAL,Privado Nacional,4782-55-28,B3 INSTITUICAO DE PAGAMENTO LTDA,PARTICIPANTE,2023-10-25,SP
2026-07-08,2026-06-01,BANCO BARI DE INVESTIMENTO E FINANCI. - PRUDENCIAL,Privado Nacional,0055-66-03,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,LIDER,2014-01-02,PR
2026-07-08,2026-06-01,BANCO BARI DE INVESTIMENTO E FINANCI. - PRUDENCIAL,Privado Nacional,1451-17-81,BARI COMPANHIA HIPOTECÁRIA,PARTICIPANTE,2014-01-02,PR
2026-07-08,2026-06-01,BANCO BARI DE INVESTIMENTO E FINANCI. - PRUDENCIAL,Privado Nacional,1060-84-05,BARI SECURITIZADORA S.A.,PARTICIPANTE,2014-01-02,SP
2026-07-08,2026-06-01,BANCO C6 - PRUDENCIAL,Privado Nacional,3187-24-95,BANCO C6 S.A.,LIDER,2019-01-18,SP
2026-07-08,2026-06-01,BANCO C6 - PRUDENCIAL,Privado Nacional,6134-85-38,BANCO C6 CONSIGNADO S.A.,PARTICIPANTE,2020-08-19,SP
2026-07-08,2026-06-01,BANCO C6 - PRUDENCIAL,Privado Nacional,2982-87-33,C6 BANK TV1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,PARTICIPANTE,2019-12-03,
2026-07-08,2026-06-01,BANCO C6 - PRUDENCIAL,Privado Nacional,3234-57-84,C6 CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,PARTICIPANTE,2019-02-13,SP
2026-07-08,2026-06-01,BANCO C6 - PRUDENCIAL,Privado Nacional,3392-51-89,CARBONO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRED PRIV INVEST NO EXTERIOR - RESP LIMITADA,PARTICIPANTE,2019-09-17,SP
2026-07-08,2026-06-01,BANCO DIGIMAIS - PRUDENCIAL,Privado Nacional,9287-42-70,BANCO DIGIMAIS S.A.,LIDER/HOLDING,2014-01-02,SP
2026-07-08,2026-06-01,BANCO DIGIMAIS - PRUDENCIAL,Privado Nacional,5012-83-80,ABEL FUNDO DE INVESTIMENTO EM PARTICIPACOES  MULTIESTRATEGIA,PARTICIPANTE,2024-08-01,SP
2026-07-08,2026-06-01,BANCO DIGIMAIS - PRUDENCIAL,Privado Nacional,4996-38-85,ALPHA FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,PARTICIPANTE,2024-08-01,SP
2026-07-08,2026-06-01,BANCO DIGIMAIS - PRUDENCIAL,Privado Nacional,5037-50-85,CAJAIBA FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,PARTICIPANTE,2025-09-01,SP
2026-07-08,2026-06-01,BANCO DIGIMAIS - PRUDENCIAL,Privado Nacional,5147-68-70,DELTA FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,PARTICIPANTE,2024-08-01,SP
2026-07-08,2026-06-01,BANCO DIGIMAIS - PRUDENCIAL,Privado Nacional,6138-77-82,HATIKVAH FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,PARTICIPANTE,2025-12-30,MG
2026-07-08,2026-06-01,BANCO DIGIMAIS - PRUDENCIAL,Privado Nacional,5206-96-91,HERMON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,PARTICIPANTE,2026-04-16,
2026-07-08,2026-06-01,BANCO DIGIMAIS - PRUDENCIAL,Privado Nacional,4589-97-45,ID 112 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,PARTICIPANTE,2024-08-01,
2026-07-08,2026-06-01,BANCO DIGIMAIS - PRUDENCIAL,Privado Nacional,4911-26-11,ID GOIANA FUNDO DE INVESTIMENTO FIAGRO IMOBILIARIO - RESPONSABILIDADE LIMITADA,PARTICIPANTE,2024-08-01,SP
2026-07-08,2026-06-01,BANCO DIGIMAIS - PRUDENCIAL,Privado Nacional,5826-85-83,OMEGA FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,PARTICIPANTE,2024-11-29,SP
2026-07-08,2026-06-01,BANCO PAULISTA - PRUDENCIAL,Privado Nacional,6182-08-17,BANCO PAULISTA S.A.,LIDER,2020-07-03,SP
