data_captura,data_base,documento,cnpj,agencia,nome_instituicao,cod_congl,nome_congl,taxonomia,conta,nome_conta,saldo
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1631500002,FINANCIAMENTOS RURAIS - APLICAÇÕES COM RECURSOS DIRECIONADOS À VISTA,41662849122.54
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1632500001,FINANCIAMENTOS RURAIS - APLICAÇÕES COM RECURSOS DIRECIONADOS DA POUPANÇA RURAL,144565422239.47
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1633500000,FINANCIAMENTOS RURAIS - APLICAÇÕES COM RECURSOS DIRECIONADOS DE LCA,50084157462.28
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1634500009,FINANCIAMENTOS RURAIS COM RECURSOS DE FONTES PÚBLICAS,48321960181.53
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1640000005,Financiamentos Imobiliários,49563362567.58
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1641000004,IMÓVEIS NÃO RESIDENCIAIS,797972540.16
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1643000002,IMÓVEIS RESIDENCIAIS,48765390027.42
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1800000003,OUTROS CRÉDITOS,385505672146.29
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1810000000,Operações com Características de Concessão de Crédito,124318967679.21
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1811000009,CRÉDITOS POR AVAIS E FIANÇAS HONRADOS,173787441.31
2026-09-03,202606,4010,0000-00-00,,BCO DO BRASIL S.A.,,,BANCO DO BRASIL - BANCO MULTIPLO,1812000008,ADIANTAMENTO DE CONTRATO DE CÂMBIO,25618780783.48
