data_base,AnoMes,CodInst,TipoInstituicao,NomeInstituicao,Segmento,ativo_total,NomeRelatorio,NumeroRelatorio,78191,78192,78193,78194,78195,78196,78197,78198,78202,aplicacoes_interfinanceiras,disponibilidades,outros_ativos_realizaveis,outros_creditos_liquido,permanente_ajustado,tvm_derivativos
2024-03-31,202403,71297899,3,IF 71297899,N/D,138198769981.0,Ativo,2,89906297206.0,-4437082572.0,85469214634.0,0.0,0.0,0.0,0.0,0.0,138198769981.0,0.0,501607039.0,43536139494.0,1058715653.0,486353982.0,2769553341.0
2024-06-30,202406,71297899,3,IF 71297899,N/D,14421309657.0,Ativo,2,93083665541.0,-4484234465.0,88599431076.0,0.0,0.0,0.0,0.0,0.0,14421309657.0,0.0,392296911.0,46361409706.0,767339338.0,5011074051.0,3081545488.0
2024-09-30,202409,71297899,3,IF 71297899,N/D,153600143549.0,Ativo,2,96829126421.0,-5612703524.0,91216422897.0,0.0,0.0,0.0,0.0,0.0,153600143549.0,0.0,685785506.0,52630168471.0,911724689.0,5069163341.0,3086878645.0
2024-12-31,202412,71297899,3,IF 71297899,N/D,152168457213.0,Ativo,2,96118885555.0,-6279454076.0,89839431479.0,0.0,0.0,0.0,0.0,0.0,152168457213.0,0.0,54865728.0,52517679057.0,943208931.0,514047511.0,3179005356.0
2024-03-31,202403,71328769,3,IF 71328769,N/D,1218324077597.0,Ativo,2,496005985004.0,-33939003113.0,462066981891.0,0.0,0.0,0.0,0.0,0.0,1218324077597.0,47609831542.0,1400575453.0,326864376731.0,737287610.0,11098304614.0,361911131266.0
2024-06-30,202406,71328769,3,IF 71328769,N/D,1220665256617.0,Ativo,2,514433462839.0,-37232714463.0,477200748376.0,0.0,0.0,0.0,0.0,0.0,1220665256617.0,40505537925.0,139453146.0,299365388705.0,7463769332.0,11609878371.0,383125402448.0
2024-09-30,202409,71328769,3,IF 71328769,N/D,1255527314655.0,Ativo,2,513635245078.0,-39739064495.0,473896180583.0,0.0,0.0,0.0,0.0,0.0,1255527314655.0,27864197401.0,1622491603.0,342842740827.0,7050506415.0,11322766674.0,390928431152.0
2024-12-31,202412,71328769,3,IF 71328769,N/D,128744632447.0,Ativo,2,512660386407.0,-40140479299.0,472519907108.0,0.0,0.0,0.0,0.0,0.0,128744632447.0,18754534456.0,1745272655.0,364323047939.0,6792023934.0,1143197071.0,411879567668.0
2024-03-31,202403,71336432,3,IF 71336432,N/D,6177656477.0,Ativo,2,373709833.0,-289139177.0,3447959153.0,0.0,0.0,0.0,0.0,0.0,6177656477.0,0.0,30350942.0,2302158992.0,80543237.0,162505504.0,154138649.0
2024-06-30,202406,71336432,3,IF 71336432,N/D,6874787082.0,Ativo,2,3864318881.0,-299599143.0,3564719738.0,0.0,0.0,0.0,0.0,0.0,6874787082.0,0.0,38504912.0,2862834093.0,66264626.0,158616034.0,183847679.0
2024-09-30,202409,71336432,3,IF 71336432,N/D,6909385401.0,Ativo,2,4101050433.0,-282688085.0,3818362348.0,0.0,0.0,0.0,0.0,0.0,6909385401.0,0.0,47134354.0,2643179611.0,61190108.0,155671301.0,183847679.0
